Speaker,Sentence
BUCKINGHAM,"What, talking with a priest, lord chamberlain?
Your friends at Pomfret, they do need the priest;
Your honour hath no shriving work in hand."
BUCKINGHAM,"I do, my lord; but long I shall not stay
I shall return before your lordship thence."
BUCKINGHAM,""
BUCKINGHAM,Are all things fitting for that royal time?
BUCKINGHAM,"Who knows the lord protector's mind herein?
Who is most inward with the royal duke?"
BUCKINGHAM,"Who, I, my lord I we know each other's faces,
But for our hearts, he knows no more of mine,
Than I of yours;
Nor I no more of his, than you of mine.
Lord Hastings, you and he are near in love."
GLOUCESTER,"My noble lords and cousins all, good morrow.
I have been long a sleeper; but, I hope,
My absence doth neglect no great designs,
Which by my presence might have been concluded."
BUCKINGHAM,"Had not you come upon your cue, my lord
William Lord Hastings had pronounced your part,--
I mean, your voice,--for crowning of the king."
GLOUCESTER,"Than my Lord Hastings no man might be bolder;
His lordship knows me well, and loves me well."
GLOUCESTER,My lord of Ely!
GLOUCESTER,"When I was last in Holborn,
I saw good strawberries in your garden there
I do beseech you send for some of them."
GLOUCESTER,"Cousin of Buckingham, a word with you.
Catesby hath sounded Hastings in our business,
And finds the testy gentleman so hot,
As he will lose his head ere give consent
His master's son, as worshipful as he terms it,
Shall lose the royalty of England's throne."
BUCKINGHAM,"Withdraw you hence, my lord, I'll follow you."
GLOUCESTER,"I pray you all, tell me what they deserve
That do conspire my death with devilish plots
Of damned witchcraft, and that have prevail'd
Upon my body with their hellish charms?"
GLOUCESTER,Then be your eyes the witness of this ill
GLOUCESTER,"If I thou protector of this damned strumpet--
Tellest thou me of 'ifs'?  Thou art a traitor"
GLOUCESTER,"Come, cousin, canst thou quake, and change thy colour,
Murder thy breath in the middle of a word,
And then begin again, and stop again,
As if thou wert distraught and mad with terror?"
BUCKINGHAM,"Tut, I can counterfeit the deep tragedian;
Speak and look back, and pry on every side,
Tremble and start at wagging of a straw,
Intending deep suspicion"
GLOUCESTER,"He is; and, see, he brings the mayor along."
BUCKINGHAM,"Lord mayor,--"
GLOUCESTER,Look to the drawbridge there!
BUCKINGHAM,Hark! a drum.
GLOUCESTER,"Catesby, o'erlook the walls."
BUCKINGHAM,"Lord mayor, the reason we have sent--"
GLOUCESTER,"Look back, defend thee, here are enemies."
BUCKINGHAM,God and our innocency defend and guard us!
GLOUCESTER,"Be patient, they are friends, Ratcliff and Lovel."
GLOUCESTER,"So dear I loved the man, that I must weep.
I took him for the plainest harmless creature
That breathed upon this earth a Christian;
Made him my book wherein my soul recorded
The history of all her secret thoughts"
BUCKINGHAM,"Well, well, he was the covert'st shelter'd traitor
That ever lived.
Would you imagine, or almost believe,
Were't not that, by great preservation,
We live to tell it you, the subtle traitor
This day had plotted, in the council-house
To murder me and my good Lord of Gloucester?"
GLOUCESTER,"What, think You we are Turks or infidels?
Or that we would, against the form of law,
Proceed thus rashly to the villain's death,
But that the extreme peril of the case,
The peace of England and our persons' safety,
Enforced us to this execution?"
GLOUCESTER,"Yet had not we determined he should die,
Until your lordship came to see his death;
Which now the loving haste of these our friends,
Somewhat against our meaning, have prevented"
GLOUCESTER,"And to that end we wish'd your lord-ship here,
To avoid the carping censures of the world."
BUCKINGHAM,"But since you come too late of our intents,
Yet witness what you hear we did intend"
GLOUCESTER,"Go, after, after, cousin Buckingham.
The mayor towards Guildhall hies him in all post"
BUCKINGHAM,"Fear not, my lord, I'll play the orator
As if the golden fee for which I plead
Were for myself"
GLOUCESTER,"If you thrive well, bring them to Baynard's Castle;
Where you shall find me well accompanied
With reverend fathers and well-learned bishops."
BUCKINGHAM,I go
GLOUCESTER,"Go, Lovel, with all speed to Doctor Shaw;
Go thou to Friar Penker; bid them both
Meet me within this hour at Baynard's Castle.
Now will I in, to take some privy order,
To draw the brats of Clarence out of sight;
And to give notice, that no manner of person
At any time have recourse unto the princes."
GLOUCESTER,"How now, my lord, what say the citizens?"
BUCKINGHAM,"Now, by the holy mother of our Lord,
The citizens are mum and speak not a word."
GLOUCESTER,Touch'd you the bastardy of Edward's children?
BUCKINGHAM,"I did; with his contract with Lady Lucy,
And his contract by deputy in France;
The insatiate greediness of his desires,
And his enforcement of the city wives;
His tyranny for trifles; his own bastardy,
As being got, your father then in France,
His resemblance, being not like the duke;
Withal I did infer your lineaments,
Being the right idea of your father,
Both in your form and nobleness of mind;
Laid open all your victories in Scotland,
Your dicipline in war, wisdom in peace,
Your bounty, virtue, fair humility"
GLOUCESTER,Ah! and did they so?
BUCKINGHAM,"No, so God help me, they spake not a word;
But, like dumb statues or breathing stones,
Gazed each on other, and look'd deadly pale.
Which when I saw, I reprehended them;
And ask'd the mayor what meant this wilful silence"
GLOUCESTER,What tongueless blocks were they! would not they speak?
BUCKINGHAM,"No, by my troth, my lord."
GLOUCESTER,Will not the mayor then and his brethren come?
BUCKINGHAM,The mayor is here at hand
GLOUCESTER,"I go; and if you plead as well for them
As I can say nay to thee for myself,
No doubt well bring it to a happy issue."
BUCKINGHAM,"Go, go, up to the leads; the lord mayor knocks.
Welcome my lord; I dance attendance here;
I think the duke will not be spoke withal.
Here comes his servant"
BUCKINGHAM,"Return, good Catesby, to thy lord again;
Tell him, myself, the mayor and citizens,
In deep designs and matters of great moment,
No less importing than our general good,
Are come to have some conference with his grace."
BUCKINGHAM,"Ah, ha, my lord, this prince is not an Edward!
He is not lolling on a lewd day-bed,
But on his knees at meditation;
Not dallying with a brace of courtezans,
But meditating with two deep divines;
Not sleeping, to engross his idle body,
But praying, to enrich his watchful soul"
BUCKINGHAM,"I fear he will.
How now, Catesby, what says your lord?"
BUCKINGHAM,"Sorry I am my noble cousin should
Suspect me, that I mean no good to him"
BUCKINGHAM,"Two props of virtue for a Christian prince,
To stay him from the fall of vanity"
GLOUCESTER,"My lord, there needs no such apology"
BUCKINGHAM,"Even that, I hope, which pleaseth God above,
And all good men of this ungovern'd isle."
GLOUCESTER,"I do suspect I have done some offence
That seems disgracious in the city's eyes,
And that you come to reprehend my ignorance."
BUCKINGHAM,"You have, my lord"
GLOUCESTER,Else wherefore breathe I in a Christian land?
BUCKINGHAM,"Then know, it is your fault that you resign
The supreme seat, the throne majestical,
The scepter'd office of your ancestors,
Your state of fortune and your due of birth,
The lineal glory of your royal house,
To the corruption of a blemished stock"
GLOUCESTER,"I know not whether to depart in silence,
Or bitterly to speak in your reproof.
Best fitteth my degree or your condition
If not to answer, you might haply think
Tongue-tied ambition, not replying, yielded
To bear the golden yoke of sovereignty,
Which fondly you would here impose on me;
If to reprove you for this suit of yours,
So season'd with your faithful love to me.
Then, on the other side, I cheque'd my friends.
Therefore, to speak, and to avoid the first,
And then, in speaking, not to incur the last,
Definitively thus I answer you.
Your love deserves my thanks; but my desert
Unmeritable shuns your high request.
First if all obstacles were cut away,
And that my path were even to the crown,
As my ripe revenue and due by birth
Yet so much is my poverty of spirit,
So mighty and so many my defects,
As I had rather hide me from my greatness,
Being a bark to brook no mighty sea,
Than in my greatness covet to be hid,
And in the vapour of my glory smother'd.
But, God be thank'd, there's no need of me,
And much I need to help you, if need were;
The royal tree hath left us royal fruit,
Which, mellow'd by the stealing hours of time,
Will well become the seat of majesty,
And make, no doubt, us happy by his reign.
On him I lay what you would lay on me,
The right and fortune of his happy stars;
Which God defend that I should wring from him!"
BUCKINGHAM,"My lord, this argues conscience in your grace;
But the respects thereof are nice and trivial,
All circumstances well considered.
You say that Edward is your brother's son"
BUCKINGHAM,"Refuse not, mighty lord, this proffer'd love."
GLOUCESTER,"Alas, why would you heap these cares on me?
I am unfit for state and majesty;
I do beseech you, take it not amiss;
I cannot nor I will not yield to you."
BUCKINGHAM,"If you refuse it,--as, in love and zeal,
Loath to depose the child, Your brother's son;
As well we know your tenderness of heart
And gentle, kind, effeminate remorse,
Which we have noted in you to your kin,
And egally indeed to all estates,--
Yet whether you accept our suit or no,
Your brother's son shall never reign our king;
But we will plant some other in the throne,
To the disgrace and downfall of your house"
GLOUCESTER,"O, do not swear, my lord of Buckingham."
GLOUCESTER,"Would you enforce me to a world of care?
Well, call them again. I am not made of stone,
But penetrable to your. kind entreats,
Albeit against my conscience and my soul.
Cousin of Buckingham, and you sage, grave men,
Since you will buckle fortune on my back,
To bear her burthen, whether I will or no,
I must have patience to endure the load"
GLOUCESTER,"In saying so, you shall but say the truth."
BUCKINGHAM,Then I salute you with this kingly title
BUCKINGHAM,To-morrow will it please you to be crown'd?
GLOUCESTER,"Even when you please, since you will have it so."
BUCKINGHAM,"To-morrow, then, we will attend your grace"
GLOUCESTER,"Come, let us to our holy task again.
Farewell, good cousin; farewell, gentle friends."
DUCHESS OF YORK,"Who meets us here?  my niece Plantagenet
Led in the hand of her kind aunt of Gloucester?
Now, for my life, she's wandering to the Tower,
On pure heart's love to greet the tender princes.
Daughter, well met."
QUEEN ELIZABETH,"As much to you, good sister! Whither away?"
QUEEN ELIZABETH,"Kind sister, thanks"
QUEEN ELIZABETH,"The king! why, who's that?"
QUEEN ELIZABETH,"The Lord protect him from that kingly title!
Hath he set bounds betwixt their love and me?
I am their mother; who should keep me from them?"
DUCHESS OF YORK,I am their fathers mother; I will see them.
QUEEN ELIZABETH,"O, cut my lace in sunder, that my pent heart
May have some scope to beat, or else I swoon
With this dead-killing news!"
QUEEN ELIZABETH,"O Dorset, speak not to me, get thee hence!
Death and destruction dog thee at the heels;
Thy mother's name is ominous to children.
If thou wilt outstrip death, go cross the seas,
And live with Richmond, from the reach of hell
Go, hie thee, hie thee from this slaughter-house,
Lest thou increase the number of the dead;
And make me die the thrall of Margaret's curse,
Nor mother, wife, nor England's counted queen."
DUCHESS OF YORK,"O ill-dispersing wind of misery!
O my accursed womb, the bed of death!
A cockatrice hast thou hatch'd to the world,
Whose unavoided eye is murderous."
QUEEN ELIZABETH,"Go, go, poor soul, I envy not thy glory
To feed my humour, wish thyself no harm."
QUEEN ELIZABETH,"Poor heart, adieu! I pity thy complaining."
QUEEN ELIZABETH,"Farewell, thou woful welcomer of glory!"
DUCHESS OF YORK,""
QUEEN ELIZABETH,"Stay, yet look back with me unto the Tower.
Pity, you ancient stones, those tender babes
Whom envy hath immured within your walls!
Rough cradle for such little pretty ones!
Rude ragged nurse, old sullen playfellow
For tender princes, use my babies well!
So foolish sorrow bids your stones farewell."
KING RICHARD III,Stand all apart Cousin of Buckingham!
BUCKINGHAM,My gracious sovereign?
KING RICHARD III,"Give me thy hand.
Thus high, by thy advice
And thy assistance, is King Richard seated;
But shall we wear these honours for a day?
Or shall they last, and we rejoice in them?"
BUCKINGHAM,Still live they and for ever may they last!
KING RICHARD III,"O Buckingham, now do I play the touch,
To try if thou be current gold indeed
Young Edward lives"
BUCKINGHAM,"Say on, my loving lord."
KING RICHARD III,"Why, Buckingham, I say, I would be king,"
BUCKINGHAM,"Why, so you are, my thrice renowned liege."
KING RICHARD III,Ha! am I king? 'tis so
BUCKINGHAM,"True, noble prince."
KING RICHARD III,"O bitter consequence,
That Edward still should live! 'True, noble prince!'
Cousin, thou wert not wont to be so dull"
BUCKINGHAM,Your grace may do your pleasure.
KING RICHARD III,"Tut, tut, thou art all ice, thy kindness freezeth"
BUCKINGHAM,"Give me some breath, some little pause, my lord
Before I positively herein"
KING RICHARD III,"I will converse with iron-witted fools
And unrespective boys"
KING RICHARD III,"Know'st thou not any whom corrupting gold
Would tempt unto a close exploit of death?"
KING RICHARD III,What is his name?
KING RICHARD III,I partly know the man
KING RICHARD III,Catesby!
KING RICHARD III,"Rumour it abroad
That Anne, my wife, is sick and like to die"
KING RICHARD III,"Art thou, indeed?"
KING RICHARD III,Darest thou resolve to kill a friend of mine?
KING RICHARD III,"Why, there thou hast it"
KING RICHARD III,"Thou sing'st sweet music. Hark, come hither, Tyrrel
Go, by this token"
KING RICHARD III,"Shall we hear from thee, Tyrrel, ere we sleep?"
BUCKINGHAM,"My Lord, I have consider'd in my mind
The late demand that you did sound me in."
KING RICHARD III,"Well, let that pass. Dorset is fled to Richmond."
BUCKINGHAM,"I hear that news, my lord."
KING RICHARD III,"Stanley, he is your wife's son well, look to it."
BUCKINGHAM,"My lord, I claim your gift, my due by promise,
For which your honour and your faith is pawn'd;
The earldom of Hereford and the moveables
The which you promised I should possess."
KING RICHARD III,"Stanley, look to your wife; if she convey
Letters to Richmond, you shall answer it."
BUCKINGHAM,What says your highness to my just demand?
KING RICHARD III,"As I remember, Henry the Sixth
Did prophesy that Richmond should be king,
When Richmond was a little peevish boy.
A king, perhaps, perhaps,--"
BUCKINGHAM,My lord!
KING RICHARD III,"How chance the prophet could not at that time
Have told me, I being by, that I should kill him?"
BUCKINGHAM,"My lord, your promise for the earldom,--"
KING RICHARD III,"Richmond! When last I was at Exeter,
The mayor in courtesy show'd me the castle,
And call'd it Rougemont"
BUCKINGHAM,My Lord!
KING RICHARD III,"Ay, what's o'clock?"
BUCKINGHAM,"I am thus bold to put your grace in mind
Of what you promised me."
KING RICHARD III,"Well, but what's o'clock?"
BUCKINGHAM,Upon the stroke of ten.
KING RICHARD III,"Well, let it strike."
BUCKINGHAM,Why let it strike?
KING RICHARD III,"Because that, like a Jack, thou keep'st the stroke
Betwixt thy begging and my meditation.
I am not in the giving vein to-day."
BUCKINGHAM,"Why, then resolve me whether you will or no."
KING RICHARD III,"Tut, tut,
Thou troublest me; am not in the vein."
BUCKINGHAM,"Is it even so? rewards he my true service
With such deep contempt made I him king for this?
O, let me think on Hastings, and be gone
To Brecknock, while my fearful head is on!"
KING RICHARD III,"Kind Tyrrel, am I happy in thy news?"
KING RICHARD III,But didst thou see them dead?
KING RICHARD III,"And buried, gentle Tyrrel?"
KING RICHARD III,"Come to me, Tyrrel, soon at after supper,
And thou shalt tell the process of their death.
Meantime, but think how I may do thee good,
And be inheritor of thy desire.
Farewell till soon.
The son of Clarence have I pent up close;
His daughter meanly have I match'd in marriage;
The sons of Edward sleep in Abraham's bosom,
And Anne my wife hath bid the world good night.
Now, for I know the Breton Richmond aims
At young Elizabeth, my brother's daughter,
And, by that knot, looks proudly o'er the crown,
To her I go, a jolly thriving wooer."
KING RICHARD III,"Good news or bad, that thou comest in so bluntly?"
KING RICHARD III,"Ely with Richmond troubles me more near
Than Buckingham and his rash-levied army.
Come, I have heard that fearful commenting
Is leaden servitor to dull delay;
Delay leads impotent and snail-paced beggary
Then fiery expedition be my wing,
Jove's Mercury, and herald for a king!
Come, muster men"
QUEEN MARGARET,"So, now prosperity begins to mellow
And drop into the rotten mouth of death.
Here in these confines slily have I lurk'd,
To watch the waning of mine adversaries.
A dire induction am I witness to,
And will to France, hoping the consequence
Will prove as bitter, black, and tragical.
Withdraw thee, wretched Margaret"
QUEEN ELIZABETH,"Ah, my young princes! ah, my tender babes!
My unblown flowers, new-appearing sweets!
If yet your gentle souls fly in the air
And be not fix'd in doom perpetual,
Hover about me with your airy wings
And hear your mother's lamentation!"
QUEEN MARGARET,"Hover about her; say, that right for right
Hath dimm'd your infant morn to aged night."
DUCHESS OF YORK,"So many miseries have crazed my voice,
That my woe-wearied tongue is mute and dumb,
Edward Plantagenet, why art thou dead?"
QUEEN MARGARET,"Plantagenet doth quit Plantagenet.
Edward for Edward pays a dying debt."
QUEEN ELIZABETH,"Wilt thou, O God, fly from such gentle lambs,
And throw them in the entrails of the wolf?
When didst thou sleep when such a deed was done?"
QUEEN MARGARET,"When holy Harry died, and my sweet son."
DUCHESS OF YORK,"Blind sight, dead life, poor mortal living ghost,
Woe's scene, world's shame, grave's due by life usurp'd,
Brief abstract and record of tedious days,
Rest thy unrest on England's lawful earth,
Unlawfully made drunk with innocents' blood!"
QUEEN ELIZABETH,"O, that thou wouldst as well afford a grave
As thou canst yield a melancholy seat!
Then would I hide my bones, not rest them here.
O, who hath any cause to mourn but I?"
QUEEN MARGARET,"If ancient sorrow be most reverend,
Give mine the benefit of seniory,
And let my woes frown on the upper hand.
If sorrow can admit society,
Tell o'er your woes again by viewing mine"
DUCHESS OF YORK,"I had a Richard too, and thou didst kill him;
I had a Rutland too, thou holp'st to kill him."
QUEEN MARGARET,"Thou hadst a Clarence too, and Richard kill'd him.
From forth the kennel of thy womb hath crept
A hell-hound that doth hunt us all to death"
DUCHESS OF YORK,"O Harry's wife, triumph not in my woes!
God witness with me, I have wept for thine."
QUEEN MARGARET,"Bear with me; I am hungry for revenge,
And now I cloy me with beholding it.
Thy Edward he is dead, that stabb'd my Edward"
QUEEN ELIZABETH,"O, thou didst prophesy the time would come
That I should wish for thee to help me curse
That bottled spider, that foul bunch-back'd toad!"
QUEEN MARGARET,"I call'd thee then vain flourish of my fortune;
I call'd thee then poor shadow, painted queen;
The presentation of but what I was;
The flattering index of a direful pageant;
One heaved a-high, to be hurl'd down below;
A mother only mock'd with two sweet babes;
A dream of what thou wert, a breath, a bubble,
A sign of dignity, a garish flag,
To be the aim of every dangerous shot,
A queen in jest, only to fill the scene.
Where is thy husband now? where be thy brothers?
Where are thy children? wherein dost thou, joy?
Who sues to thee and cries 'God save the queen'?
Where be the bending peers that flatter'd thee?
Where be the thronging troops that follow'd thee?
Decline all this, and see what now thou art"
QUEEN ELIZABETH,"O thou well skill'd in curses, stay awhile,
And teach me how to curse mine enemies!"
QUEEN MARGARET,"Forbear to sleep the nights, and fast the days;
Compare dead happiness with living woe;
Think that thy babes were fairer than they were,
And he that slew them fouler than he is"
QUEEN ELIZABETH,"My words are dull; O, quicken them with thine!"
QUEEN MARGARET,"Thy woes will make them sharp, and pierce like mine."
DUCHESS OF YORK,Why should calamity be full of words?
QUEEN ELIZABETH,"Windy attorneys to their client woes,
Airy succeeders of intestate joys,
Poor breathing orators of miseries!
Let them have scope"
DUCHESS OF YORK,"If so, then be not tongue-tied"
KING RICHARD III,Who intercepts my expedition?
DUCHESS OF YORK,"O, she that might have intercepted thee,
By strangling thee in her accursed womb
From all the slaughters, wretch, that thou hast done!"
QUEEN ELIZABETH,"Hidest thou that forehead with a golden crown,
Where should be graven, if that right were right,
The slaughter of the prince that owed that crown,
And the dire death of my two sons and brothers?
Tell me, thou villain slave, where are my children?"
DUCHESS OF YORK,"Thou toad, thou toad, where is thy brother Clarence?
And little Ned Plantagenet, his son?"
QUEEN ELIZABETH,"Where is kind Hastings, Rivers, Vaughan, Grey?"
KING RICHARD III,"A flourish, trumpets! strike alarum, drums!
Let not the heavens hear these tell-tale women
Rail on the Lord's enointed"
DUCHESS OF YORK,Art thou my son?
KING RICHARD III,"Ay, I thank God, my father, and yourself."
DUCHESS OF YORK,Then patiently hear my impatience.
KING RICHARD III,"Madam, I have a touch of your condition,
Which cannot brook the accent of reproof."
DUCHESS OF YORK,"O, let me speak!"
KING RICHARD III,Do then
DUCHESS OF YORK,I will be mild and gentle in my speech.
KING RICHARD III,"And brief, good mother; for I am in haste."
DUCHESS OF YORK,"Art thou so hasty? I have stay'd for thee,
God knows, in anguish, pain and agony."
KING RICHARD III,And came I not at last to comfort you?
DUCHESS OF YORK,"No, by the holy rood, thou know'st it well,
Thou camest on earth to make the earth my hell.
A grievous burthen was thy birth to me;
Tetchy and wayward was thy infancy;
Thy school-days frightful, desperate, wild, and furious,
Thy prime of manhood daring, bold, and venturous,
Thy age confirm'd, proud, subdued, bloody,
treacherous,
More mild, but yet more harmful, kind in hatred"
KING RICHARD III,"Faith, none, but Humphrey Hour, that call'd
your grace
To breakfast once forth of my company.
If I be so disgracious in your sight,
Let me march on, and not offend your grace.
Strike the drum."
DUCHESS OF YORK,"I prithee, hear me speak."
KING RICHARD III,You speak too bitterly.
DUCHESS OF YORK,"Hear me a word;
For I shall never speak to thee again."
KING RICHARD III,So.
DUCHESS OF YORK,"Either thou wilt die, by God's just ordinance,
Ere from this war thou turn a conqueror,
Or I with grief and extreme age shall perish
And never look upon thy face again.
Therefore take with thee my most heavy curse;
Which, in the day of battle, tire thee more
Than all the complete armour that thou wear'st!
My prayers on the adverse party fight;
And there the little souls of Edward's children
Whisper the spirits of thine enemies
And promise them success and victory.
Bloody thou art, bloody will be thy end;
Shame serves thy life and doth thy death attend."
QUEEN ELIZABETH,"Though far more cause, yet much less spirit to curse
Abides in me; I say amen to all."
KING RICHARD III,"Stay, madam; I must speak a word with you."
QUEEN ELIZABETH,"I have no more sons of the royal blood
For thee to murder"
KING RICHARD III,"You have a daughter call'd Elizabeth,
Virtuous and fair, royal and gracious."
QUEEN ELIZABETH,"And must she die for this? O, let her live,
And I'll corrupt her manners, stain her beauty;
Slander myself as false to Edward's bed;
Throw over her the veil of infamy"
KING RICHARD III,"Wrong not her birth, she is of royal blood."
QUEEN ELIZABETH,"To save her life, I'll say she is not so."
KING RICHARD III,Her life is only safest in her birth.
QUEEN ELIZABETH,And only in that safety died her brothers.
KING RICHARD III,"Lo, at their births good stars were opposite."
QUEEN ELIZABETH,"No, to their lives bad friends were contrary."
KING RICHARD III,All unavoided is the doom of destiny.
QUEEN ELIZABETH,"True, when avoided grace makes destiny"
KING RICHARD III,You speak as if that I had slain my cousins.
QUEEN ELIZABETH,"Cousins, indeed; and by their uncle cozen'd
Of comfort, kingdom, kindred, freedom, life.
Whose hand soever lanced their tender hearts,
Thy head, all indirectly, gave direction"
KING RICHARD III,"Madam, so thrive I in my enterprise
And dangerous success of bloody wars,
As I intend more good to you and yours,
Than ever you or yours were by me wrong'd!"
QUEEN ELIZABETH,"What good is cover'd with the face of heaven,
To be discover'd, that can do me good?"
KING RICHARD III,"The advancement of your children, gentle lady."
QUEEN ELIZABETH,"Up to some scaffold, there to lose their heads?"
KING RICHARD III,"No, to the dignity and height of honour
The high imperial type of this earth's glory."
QUEEN ELIZABETH,"Flatter my sorrows with report of it;
Tell me what state, what dignity, what honour,
Canst thou demise to any child of mine?"
KING RICHARD III,"Even all I have; yea, and myself and all,
Will I withal endow a child of thine;
So in the Lethe of thy angry soul
Thou drown the sad remembrance of those wrongs
Which thou supposest I have done to thee."
QUEEN ELIZABETH,"Be brief, lest that be process of thy kindness
Last longer telling than thy kindness' date."
KING RICHARD III,"Then know, that from my soul I love thy daughter."
QUEEN ELIZABETH,My daughter's mother thinks it with her soul.
KING RICHARD III,What do you think?
QUEEN ELIZABETH,That thou dost love my daughter from thy soul
KING RICHARD III,Be not so hasty to confound my meaning
QUEEN ELIZABETH,"Say then, who dost thou mean shall be her king?"
KING RICHARD III,Even he that makes her queen who should be else?
QUEEN ELIZABETH,"What, thou?"
KING RICHARD III,"I, even I"
QUEEN ELIZABETH,How canst thou woo her?
KING RICHARD III,"That would I learn of you,
As one that are best acquainted with her humour."
QUEEN ELIZABETH,And wilt thou learn of me?
KING RICHARD III,"Madam, with all my heart."
QUEEN ELIZABETH,"Send to her, by the man that slew her brothers,
A pair of bleeding-hearts; thereon engrave
Edward and York; then haply she will weep"
KING RICHARD III,"Come, come, you mock me; this is not the way
To win our daughter."
QUEEN ELIZABETH,"There is no other way
Unless thou couldst put on some other shape,
And not be Richard that hath done all this."
KING RICHARD III,Say that I did all this for love of her.
QUEEN ELIZABETH,"Nay, then indeed she cannot choose but hate thee,
Having bought love with such a bloody spoil."
KING RICHARD III,"Look, what is done cannot be now amended"
QUEEN ELIZABETH,"What were I best to say? her father's brother
Would be her lord? or shall I say, her uncle?
Or, he that slew her brothers and her uncles?
Under what title shall I woo for thee,
That God, the law, my honour and her love,
Can make seem pleasing to her tender years?"
KING RICHARD III,Infer fair England's peace by this alliance.
QUEEN ELIZABETH,Which she shall purchase with still lasting war.
KING RICHARD III,"Say that the king, which may command, entreats."
QUEEN ELIZABETH,That at her hands which the king's King forbids.
KING RICHARD III,"Say, she shall be a high and mighty queen."
QUEEN ELIZABETH,"To wail the tide, as her mother doth."
KING RICHARD III,"Say, I will love her everlastingly."
QUEEN ELIZABETH,But how long shall that title 'ever' last?
KING RICHARD III,Sweetly in force unto her fair life's end.
QUEEN ELIZABETH,But how long fairly shall her sweet lie last?
KING RICHARD III,So long as heaven and nature lengthens it.
QUEEN ELIZABETH,So long as hell and Richard likes of it.
KING RICHARD III,"Say, I, her sovereign, am her subject love."
QUEEN ELIZABETH,"But she, your subject, loathes such sovereignty."
KING RICHARD III,Be eloquent in my behalf to her.
QUEEN ELIZABETH,An honest tale speeds best being plainly told.
KING RICHARD III,Then in plain terms tell her my loving tale.
QUEEN ELIZABETH,Plain and not honest is too harsh a style.
KING RICHARD III,Your reasons are too shallow and too quick.
QUEEN ELIZABETH,"O no, my reasons are too deep and dead;
Too deep and dead, poor infants, in their grave."
KING RICHARD III,"Harp not on that string, madam; that is past."
QUEEN ELIZABETH,Harp on it still shall I till heart-strings break.
KING RICHARD III,"Now, by my George, my garter, and my crown,--"
QUEEN ELIZABETH,"Profaned, dishonour'd, and the third usurp'd."
KING RICHARD III,I swear--
QUEEN ELIZABETH,By nothing; for this is no oath
KING RICHARD III,"Now, by the world--"
QUEEN ELIZABETH,'Tis full of thy foul wrongs.
KING RICHARD III,My father's death--
QUEEN ELIZABETH,Thy life hath that dishonour'd.
KING RICHARD III,"Then, by myself--"
QUEEN ELIZABETH,Thyself thyself misusest.
KING RICHARD III,"Why then, by God--"
QUEEN ELIZABETH,"God's wrong is most of all.
If thou hadst fear'd to break an oath by Him,
The unity the king thy brother made
Had not been broken, nor my brother slain"
KING RICHARD III,The time to come.
QUEEN ELIZABETH,"That thou hast wronged in the time o'erpast;
For I myself have many tears to wash
Hereafter time, for time past wrong'd by thee.
The children live, whose parents thou hast
slaughter'd,
Ungovern'd youth, to wail it in their age;
The parents live, whose children thou hast butcher'd,
Old wither'd plants, to wail it with their age.
Swear not by time to come; for that thou hast
Misused ere used, by time misused o'erpast."
KING RICHARD III,"As I intend to prosper and repent,
So thrive I in my dangerous attempt
Of hostile arms! myself myself confound!
Heaven and fortune bar me happy hours!
Day, yield me not thy light; nor, night, thy rest!
Be opposite all planets of good luck
To my proceedings, if, with pure heart's love,
Immaculate devotion, holy thoughts,
I tender not thy beauteous princely daughter!
In her consists my happiness and thine;
Without her, follows to this land and me,
To thee, herself, and many a Christian soul,
Death, desolation, ruin and decay"
QUEEN ELIZABETH,Shall I be tempted of the devil thus?
KING RICHARD III,"Ay, if the devil tempt thee to do good."
QUEEN ELIZABETH,Shall I forget myself to be myself?
KING RICHARD III,"Ay, if yourself's remembrance wrong yourself."
QUEEN ELIZABETH,But thou didst kill my children.
KING RICHARD III,But in your daughter's womb I bury them
QUEEN ELIZABETH,Shall I go win my daughter to thy will?
KING RICHARD III,And be a happy mother by the deed.
QUEEN ELIZABETH,"I go. Write to me very shortly.
And you shall understand from me her mind."
KING RICHARD III,"Bear her my true love's kiss; and so, farewell.
Relenting fool, and shallow, changing woman!
How now! what news?"
KING RICHARD III,Some light-foot friend post to the Duke of Norfolk
KING RICHARD III,Fly to the duke
KING RICHARD III,"O, true, good Catesby"
KING RICHARD III,"Why, what wouldst thou do there before I go?"
KING RICHARD III,"My mind is changed, sir, my mind is changed.
How now, what news with you?"
KING RICHARD III,"Hoyday, a riddle! neither good nor bad!
Why dost thou run so many mile about,
When thou mayst tell thy tale a nearer way?
Once more, what news?"
KING RICHARD III,"There let him sink, and be the seas on him!
White-liver'd runagate, what doth he there?"
KING RICHARD III,"Well, sir, as you guess, as you guess?"
KING RICHARD III,"Is the chair empty? is the sword unsway'd?
Is the king dead? the empire unpossess'd?
What heir of York is there alive but we?
And who is England's king but great York's heir?
Then, tell me, what doth he upon the sea?"
KING RICHARD III,"Unless for that he comes to be your liege,
You cannot guess wherefore the Welshman comes.
Thou wilt revolt, and fly to him, I fear."
KING RICHARD III,"Where is thy power, then, to beat him back?
Where are thy tenants and thy followers?
Are they not now upon the western shore.
Safe-conducting the rebels from their ships!"
KING RICHARD III,Cold friends to Richard
KING RICHARD III,"Ay, ay. thou wouldst be gone to join with Richmond"
KING RICHARD III,"Well,
Go muster men; but, hear you, leave behind
Your son, George Stanley"
